current_url,current_route,current_status,title,description,canonical,new_route_exists,redirect_exists,recommended_target,action
https://www.sunray-cleaning.com/,/,200,Park City Heber Midway Salt Lake Home Cleaning Services | Sun Ray Cleaning,"Text or Call today for a free quote. 801-604-2189. Sparkling Homes, Trusted Service, Local Experts. Choose Sun Ray Cleaning for your expert home cleaning services, 50-Point Checklist and top-tier cleaning services. You'll love our insured PROs and flexible schedules!",,yes,no,/,covered
https://www.sunray-cleaning.com/about-us,/about-us,200,Meet Your Trusted Home Cleaning Experts in Herriman | Sun Ray Cleaning,"Discover the story behind Sun Ray Cleaning, a locally owned home cleaning service in Herriman. Our team is licensed, dependable, and committed to your satisfaction.",,no,yes,/about,covered_by_redirect
https://www.sunray-cleaning.com/blog,/blog,200,Blog,,,yes,no,/blog,covered
https://www.sunray-cleaning.com/blog/allergy-friendly-cleaning,/blog/allergy-friendly-cleaning,200,Allergy-Friendly Cleaning | SunRay Cleaning Services,"Expert vacation home cleaning in Park City, Heber & Midway. Seasonal deep cleans, turnover services, and eco-friendly care for your Utah getaway.",,no,yes,/services/recurring-cleaning,covered_by_redirect
https://www.sunray-cleaning.com/blog/avenues-salt-lake-cleaning,/blog/avenues-salt-lake-cleaning,200,Avenues Cleaning Services in Salt Lake City | SunRay Cleaning Services,"Expert vacation home cleaning in Park City, Heber & Midway. Seasonal deep cleans, turnover services, and eco-friendly care for your Utah getaway.",,no,yes,/service-location/salt-lake-county,covered_by_redirect
https://www.sunray-cleaning.com/blog/bathroom-cleaning-renovation-prep,/blog/bathroom-cleaning-renovation-prep,200,Bathroom Cleaning & Renovation Prep | SunRay Cleaning Services,"Expert vacation home cleaning in Park City, Heber & Midway. Seasonal deep cleans, turnover services, and eco-friendly care for your Utah getaway.",,no,yes,/services/deep-cleaning,covered_by_redirect
https://www.sunray-cleaning.com/blog/carpet-upholstery-care,/blog/carpet-upholstery-care,200,Carpet & Upholstery Care | SunRay Cleaning Services,"Expert vacation home cleaning in Park City, Heber & Midway. Seasonal deep cleans, turnover services, and eco-friendly care for your Utah getaway.",,no,yes,/blog,covered_by_redirect
https://www.sunray-cleaning.com/blog/cleaning-for-flu-and-cold-season,/blog/cleaning-for-flu-and-cold-season,200,Cleaning for Flu and Cold Season | SunRay Cleaning Services,"Expert vacation home cleaning in Park City, Heber & Midway. Seasonal deep cleans, turnover services, and eco-friendly care for your Utah getaway.",,no,yes,/services/deep-cleaning,covered_by_redirect
https://www.sunray-cleaning.com/blog/cleaning-schedules-routines,/blog/cleaning-schedules-routines,200,Cleaning Schedules & Routines | SunRay Cleaning Services,"Expert vacation home cleaning in Park City, Heber & Midway. Seasonal deep cleans, turnover services, and eco-friendly care for your Utah getaway.",,no,yes,/services/recurring-cleaning,covered_by_redirect
https://www.sunray-cleaning.com/blog/cleaning-services-pricing,/blog/cleaning-services-pricing,200,Cleaning Services & Pricing | SunRay Cleaning Services,"Expert vacation home cleaning in Park City, Heber & Midway. Seasonal deep cleans, turnover services, and eco-friendly care for your Utah getaway.",,no,yes,/services,covered_by_redirect
https://www.sunray-cleaning.com/blog/cleaning-tips-tricks,/blog/cleaning-tips-tricks,200,Cleaning Tips & Tricks | SunRay Cleaning Services,"Expert vacation home cleaning in Park City, Heber & Midway. Seasonal deep cleans, turnover services, and eco-friendly care for your Utah getaway.",,no,yes,/blog,covered_by_redirect
https://www.sunray-cleaning.com/blog/complete-guide-airbnb-vrbo-cleaning-park-city,/blog/complete-guide-airbnb-vrbo-cleaning-park-city,200,The Complete Guide to Airbnb & VRBO Cleaning in Park City (2026) | SunRay Cleaning Services,"Expert vacation home cleaning in Park City, Heber & Midway. Seasonal deep cleans, turnover services, and eco-friendly care for your Utah getaway.",,no,yes,/blog/complete-guide-airbnb-vrbo-cleaning-park-city-2026,covered_by_redirect
https://www.sunray-cleaning.com/blog/downtown-salt-lake-cleaning,/blog/downtown-salt-lake-cleaning,200,Cleaning Services in Downtown Salt Lake | SunRay Cleaning Services,"Expert vacation home cleaning in Park City, Heber & Midway. Seasonal deep cleans, turnover services, and eco-friendly care for your Utah getaway.",,no,yes,/service-location/salt-lake-county,covered_by_redirect
https://www.sunray-cleaning.com/blog/draper-utah-cleaning,/blog/draper-utah-cleaning,200,Draper Utah Cleaning Services | SunRay Cleaning Services,"Expert vacation home cleaning in Park City, Heber & Midway. Seasonal deep cleans, turnover services, and eco-friendly care for your Utah getaway.",,no,yes,/service-location/salt-lake-county,covered_by_redirect
https://www.sunray-cleaning.com/blog/green-cleaning-eco-friendly-practices,/blog/green-cleaning-eco-friendly-practices,200,Green Cleaning & Eco-Friendly Practices | SunRay Cleaning Services,"Expert vacation home cleaning in Park City, Heber & Midway. Seasonal deep cleans, turnover services, and eco-friendly care for your Utah getaway.",,no,yes,/services/recurring-cleaning,covered_by_redirect
https://www.sunray-cleaning.com/blog/heber-city-home-cleaning,/blog/heber-city-home-cleaning,200,Heber City Home Cleaning Services | SunRay Cleaning Services,"Expert vacation home cleaning in Park City, Heber & Midway. Seasonal deep cleans, turnover services, and eco-friendly care for your Utah getaway.",,no,yes,/service-location/heber-city,covered_by_redirect
https://www.sunray-cleaning.com/blog/heber-city-residential-cleaning,/blog/heber-city-residential-cleaning,404,Not Found,,,no,yes,/service-location/heber-city,covered_by_redirect
https://www.sunray-cleaning.com/blog/home-maintenance-preventive-care,/blog/home-maintenance-preventive-care,200,Home Maintenance & Preventive Care | SunRay Cleaning Services,"Expert vacation home cleaning in Park City, Heber & Midway. Seasonal deep cleans, turnover services, and eco-friendly care for your Utah getaway.",,no,yes,/services/recurring-cleaning,covered_by_redirect
https://www.sunray-cleaning.com/blog/jordanelle-cleaning-solutions,/blog/jordanelle-cleaning-solutions,404,Not Found,,,no,yes,/blog/jordanelle-vacation-rental-turnover,covered_by_redirect
https://www.sunray-cleaning.com/blog/jordanelle-home-cleaning,/blog/jordanelle-home-cleaning,200,Jordanelle Home Cleaning Services | SunRay Cleaning Services,"Expert vacation home cleaning in Park City, Heber & Midway. Seasonal deep cleans, turnover services, and eco-friendly care for your Utah getaway.",,no,yes,/service-location/jordanelle,covered_by_redirect
https://www.sunray-cleaning.com/blog/kamas-home-cleaning,/blog/kamas-home-cleaning,200,Kamas Home Cleaning Services | SunRay Cleaning Services,"Expert vacation home cleaning in Park City, Heber & Midway. Seasonal deep cleans, turnover services, and eco-friendly care for your Utah getaway.",,no,yes,/service-location/kamas,covered_by_redirect
https://www.sunray-cleaning.com/blog/kitchen-deep-cleaning-hygiene,/blog/kitchen-deep-cleaning-hygiene,200,Kitchen Deep Cleaning & Disinfecting | SunRay Cleaning Services,"Expert vacation home cleaning in Park City, Heber & Midway. Seasonal deep cleans, turnover services, and eco-friendly care for your Utah getaway.",,no,yes,/services/deep-cleaning,covered_by_redirect
https://www.sunray-cleaning.com/blog/laundry-room-optimization,/blog/laundry-room-optimization,200,Laundry Room Optimization | SunRay Cleaning Services,"Expert vacation home cleaning in Park City, Heber & Midway. Seasonal deep cleans, turnover services, and eco-friendly care for your Utah getaway.",,no,yes,/blog,covered_by_redirect
https://www.sunray-cleaning.com/blog/local-compliance-standards-faqs,/blog/local-compliance-standards-faqs,200,Local Compliance & Standards FAQs | SunRay Cleaning Services,"Expert vacation home cleaning in Park City, Heber & Midway. Seasonal deep cleans, turnover services, and eco-friendly care for your Utah getaway.",,no,yes,/blog,covered_by_redirect
https://www.sunray-cleaning.com/blog/midway-home-cleaning,/blog/midway-home-cleaning,200,Midway Home Cleaning Services | SunRay Cleaning Services,"Expert vacation home cleaning in Park City, Heber & Midway. Seasonal deep cleans, turnover services, and eco-friendly care for your Utah getaway.",,no,yes,/service-location/midway,covered_by_redirect
https://www.sunray-cleaning.com/blog/midway-utah-cleaning-experts,/blog/midway-utah-cleaning-experts,404,Not Found,,,no,yes,/service-location/midway,covered_by_redirect
https://www.sunray-cleaning.com/blog/millcreek-utah-cleaning,/blog/millcreek-utah-cleaning,200,Millcreek Utah Cleaning Services | SunRay Cleaning Services,"Expert vacation home cleaning in Park City, Heber & Midway. Seasonal deep cleans, turnover services, and eco-friendly care for your Utah getaway.",,no,yes,/service-location/salt-lake-county,covered_by_redirect
https://www.sunray-cleaning.com/blog/mountain-home-cleaning-challenges,/blog/mountain-home-cleaning-challenges,200,Mountain Home Cleaning Challenges | SunRay Cleaning Services,"Expert vacation home cleaning in Park City, Heber & Midway. Seasonal deep cleans, turnover services, and eco-friendly care for your Utah getaway.",,no,yes,/services/deep-cleaning,covered_by_redirect
https://www.sunray-cleaning.com/blog/murray-utah-cleaning,/blog/murray-utah-cleaning,200,Murray Utah Residential Cleaning | SunRay Cleaning Services,"Expert vacation home cleaning in Park City, Heber & Midway. Seasonal deep cleans, turnover services, and eco-friendly care for your Utah getaway.",,no,yes,/service-location/salt-lake-county,covered_by_redirect
https://www.sunray-cleaning.com/blog/organization-decluttering,/blog/organization-decluttering,200,Organization & Decluttering | SunRay Cleaning Services,"Expert vacation home cleaning in Park City, Heber & Midway. Seasonal deep cleans, turnover services, and eco-friendly care for your Utah getaway.",,no,yes,/blog,covered_by_redirect
https://www.sunray-cleaning.com/blog/park-city-cleaning-services,/blog/park-city-cleaning-services,404,Not Found,,,no,yes,/service-location/park-city,covered_by_redirect
https://www.sunray-cleaning.com/blog/park-city-home-cleaning,/blog/park-city-home-cleaning,200,Home Cleaning Services in Park City | SunRay Cleaning Services,"Expert vacation home cleaning in Park City, Heber & Midway. Seasonal deep cleans, turnover services, and eco-friendly care for your Utah getaway.",,no,yes,/service-location/park-city,covered_by_redirect
https://www.sunray-cleaning.com/blog/park-city-summer-guest-ready-checklist,/blog/park-city-summer-guest-ready-checklist,404,Not Found,,,no,yes,/blog/getting-park-city-home-ready-for-summer-guests,covered_by_redirect
